# High likelihood threshold: 0.13657068824000002
Phenotype	Likelihood	Term	High Likelihood
D006973	0.03473325996887014	Hypertension	False
D001171	0.034532784659877684	Arthritis, Juvenile	False
D007234	0.02672508010470632	Infant, Premature	False
D001172	0.023887996301234175	Arthritis, Rheumatoid	False
D054323	0.023877420428740196	Shiga-Toxigenic Escherichia coli	False
D013167	0.023702889710362236	Spondylitis, Ankylosing	False
D000067877	0.02276852567951805	Autism Spectrum Disorder	False
D004485	0.02256669704700556	Eczema	False
D013959	0.022330108255139144	Thyroid Diseases	False
D008107	0.02166895924862013	Liver Diseases	False
D003248	0.021242313307075208	Constipation	False
D015212	0.020971746187262195	Inflammatory Bowel Diseases	False
D003967	0.020763179497923116	Diarrhea	False
D007410	0.020647101990957394	Intestinal Diseases	False
D008171	0.02056385554330948	Lung Diseases	False
D003424	0.01967701632122777	Crohn Disease	False
D000236	0.019617440636078957	Adenoma	False
D050197	0.01905299853898752	Atherosclerosis	False
D001528	0.018429310148537555	Behcet Syndrome	False
D009765	0.01837105074847237	Obesity	False
D001714	0.018142422763991667	Bipolar Disorder	False
D002318	0.018129197358284405	Cardiovascular Diseases	False
D004827	0.017748394998315247	Epilepsy	False
D008881	0.016692236652100574	Migraine Disorders	False
D014376	0.01641416726828011	Tuberculosis	False
D001289	0.016404000880671003	Attention Deficit Disorder with Hyperactivity	False
D014607	0.016050895589331003	Uveomeningoencephalitic Syndrome	False
D010300	0.015768714425017958	Parkinson Disease	False
D065626	0.01567947004700943	Non-alcoholic Fatty Liver Disease	False
D001327	0.0156306251307903	Autoimmune Diseases	False
D003922	0.015275316582109675	Diabetes Mellitus, Type 1	False
D015179	0.015207331373639292	Colorectal Neoplasms	False
D008545	0.015058801673488094	Melanoma	False
D003924	0.014862210951464318	Diabetes Mellitus, Type 2	False
D054198	0.01437851320630866	Precursor Cell Lymphoblastic Leukemia-Lymphoma	False
D024821	0.014325062344148664	Metabolic Syndrome	False
D003093	0.013620673182834948	Colitis, Ulcerative	False
D016640	0.013612367398809791	Diabetes, Gestational	False
D037841	0.013112327747778195	Pregnant Women	False
D007230	0.012884593053287225	Infant, Low Birth Weight	False
D006262	0.012824565510851751	Health	False
D001943	0.012769110525687391	Breast Neoplasms	False
D003920	0.012144397464423234	Diabetes Mellitus	False
D007676	0.01209299467462163	Kidney Failure, Chronic	False
D000755	0.011889673538815426	Anemia, Sickle Cell	False
D043183	0.011809638418414283	Irritable Bowel Syndrome	False
D001321	0.011396910132949387	Autistic Disorder	False
D011236	0.011268056868959278	Prediabetic State	False
D002446	0.010733487397752628	Celiac Disease	False
D007674	0.010602486136333973	Kidney Diseases	False
D020187	0.010048167077615886	REM Sleep Behavior Disorder	False
D012778	0.009470514573380419	Short Bowel Syndrome	False
D015497	0.009109437779507921	HIV-1	False
D009767	0.008791187575988206	Obesity, Morbid	False
D005764	0.00873513829488038	Gastroesophageal Reflux	False
D003550	0.008700244105647284	Cystic Fibrosis	False
D003015	0.00818110834334056	Clostridium Infections	False
D006515	0.008145690997584042	Hepatitis B virus	False
D050177	0.007924092655900066	Overweight	False
D006111	0.007823625361436999	Graves Disease	False
D016360	0.007683127572807507	Clostridium difficile	False
D025241	0.007673076898383923	Spondylarthritis	False
D012400	0.006933942622107237	Rotavirus Infections	False
D000855	0.006690749819278387	Anorexia	False
D005891	0.0065967194549221295	Gingivitis	False
D008103	0.006434601588018593	Liver Cirrhosis	False
D013964	0.006424388381592149	Thyroid Neoplasms	False
D015518	0.006214498031277623	Rett Syndrome	False
D003108	0.006179980176808051	Colonic Diseases	False
D011565	0.005778437499856187	Psoriasis	False
D050031	0.00558903991430363	Hashimoto Disease	False
D055113	0.005113395480138144	Chronic Periodontitis	False
D016918	0.004676584363189218	Arthritis, Reactive	False
D003863	0.004573939115743881	Depression	False
D015209	0.00447570548832608	Cholangitis, Sclerosing	False
D015658	0.004472504080433579	HIV Infections	False
D010661	0.00400909260119308	Phenylketonurias	False
D001249	0.00389888378183425	Asthma	False
D006678	0.0037546888580921524	HIV	False
D000544	0.003687571443662094	Alzheimer Disease	False
D019337	0.00334316098088204	Hematologic Neoplasms	False
D020345	0.003187414167076829	Enterocolitis, Necrotizing	False
D000067011	0.0028912224314209373	Severe Acute Malnutrition	False
D002277	0.002275019524029096	Carcinoma	False
D013274	0.0002877557677720866	Stomach Neoplasms	False
