# High likelihood threshold: 0.13657068824000002
Phenotype	Likelihood	Term	High Likelihood
D000755	0.018967079919139384	Anemia, Sickle Cell	False
D006973	0.017258016190948123	Hypertension	False
D054323	0.015918940027106986	Shiga-Toxigenic Escherichia coli	False
D001171	0.014028439912735991	Arthritis, Juvenile	False
D013167	0.013511701273696577	Spondylitis, Ankylosing	False
D003424	0.01335565340215937	Crohn Disease	False
D014376	0.013146233568075849	Tuberculosis	False
D001172	0.013142392364088658	Arthritis, Rheumatoid	False
D015212	0.013063196876906205	Inflammatory Bowel Diseases	False
D000067877	0.010439292987724814	Autism Spectrum Disorder	False
D000236	0.010412844540143774	Adenoma	False
D007234	0.01037051935196479	Infant, Premature	False
D007410	0.010339695082393395	Intestinal Diseases	False
D009765	0.010305664428612922	Obesity	False
D011236	0.00978505933261776	Prediabetic State	False
D003248	0.009697643502953655	Constipation	False
D001528	0.009124776345506	Behcet Syndrome	False
D008545	0.00897341935583383	Melanoma	False
D008107	0.008936337815968289	Liver Diseases	False
D001714	0.008543131460662622	Bipolar Disorder	False
D037841	0.008334517521215244	Pregnant Women	False
D008171	0.008300195971880612	Lung Diseases	False
D016640	0.008220401603304683	Diabetes, Gestational	False
D014607	0.008193310100955422	Uveomeningoencephalitic Syndrome	False
D065626	0.008094536558770906	Non-alcoholic Fatty Liver Disease	False
D001289	0.008087193144667474	Attention Deficit Disorder with Hyperactivity	False
D050197	0.008054959158438084	Atherosclerosis	False
D003924	0.007861996130958615	Diabetes Mellitus, Type 2	False
D015179	0.007816609895080899	Colorectal Neoplasms	False
D001943	0.00780642144565151	Breast Neoplasms	False
D003922	0.0077828228895982085	Diabetes Mellitus, Type 1	False
D013959	0.007709212308280262	Thyroid Diseases	False
D003093	0.007580680583688103	Colitis, Ulcerative	False
D010300	0.007175129876992927	Parkinson Disease	False
D006262	0.006964355237602866	Health	False
D002318	0.0069060346436295725	Cardiovascular Diseases	False
D024821	0.006455891949577827	Metabolic Syndrome	False
D007674	0.0064099044430219985	Kidney Diseases	False
D008881	0.006381738757369378	Migraine Disorders	False
D054198	0.006341104153041569	Precursor Cell Lymphoblastic Leukemia-Lymphoma	False
D001327	0.006337455218649725	Autoimmune Diseases	False
D050177	0.00630615282421154	Overweight	False
D015497	0.006200670837559739	HIV-1	False
D003967	0.005738504582906756	Diarrhea	False
D007676	0.005603602152635944	Kidney Failure, Chronic	False
D004485	0.005534117409338392	Eczema	False
D001321	0.005459978131176499	Autistic Disorder	False
D043183	0.005370442034613003	Irritable Bowel Syndrome	False
D003920	0.005357876551384844	Diabetes Mellitus	False
D005764	0.005185077483169586	Gastroesophageal Reflux	False
D055113	0.005110769117591853	Chronic Periodontitis	False
D004827	0.004989854615252548	Epilepsy	False
D003015	0.0047075040812836425	Clostridium Infections	False
D006515	0.004385706948153615	Hepatitis B virus	False
D020187	0.004356649303577447	REM Sleep Behavior Disorder	False
D008103	0.004013603970330633	Liver Cirrhosis	False
D025241	0.0036848647326676105	Spondylarthritis	False
D000855	0.00366889225507397	Anorexia	False
D009767	0.003627477628591159	Obesity, Morbid	False
D001249	0.003550474418546825	Asthma	False
D003550	0.0035372705752094334	Cystic Fibrosis	False
D015518	0.003505754564461315	Rett Syndrome	False
D016360	0.0034336114040492785	Clostridium difficile	False
D012778	0.0033980896374861238	Short Bowel Syndrome	False
D005891	0.0033247920167879075	Gingivitis	False
D011565	0.003269423455739948	Psoriasis	False
D016918	0.003206767014903641	Arthritis, Reactive	False
D003108	0.002988470927388052	Colonic Diseases	False
D015209	0.0028567683598737467	Cholangitis, Sclerosing	False
D050031	0.002821722213326834	Hashimoto Disease	False
D002446	0.002721842196960401	Celiac Disease	False
D006111	0.0025193081417164533	Graves Disease	False
D013964	0.00251822477563962	Thyroid Neoplasms	False
D003863	0.002486091512256388	Depression	False
D010661	0.002268578030272129	Phenylketonurias	False
D000544	0.00224204999298127	Alzheimer Disease	False
D012400	0.00215457549067122	Rotavirus Infections	False
D019337	0.00214785014994143	Hematologic Neoplasms	False
D015658	0.0020997028224147177	HIV Infections	False
D006678	0.0020305354650661358	HIV	False
D000067011	0.0015822781560091554	Severe Acute Malnutrition	False
D007230	0.0012326675543308167	Infant, Low Birth Weight	False
D020345	0.0011266040623794775	Enterocolitis, Necrotizing	False
D002277	0.0010724420347416619	Carcinoma	False
D013274	0.00023999705496932587	Stomach Neoplasms	False
