# ResFinder phenotype results.
# Sample: ERR13731454_merged.fastq.gz
# 
# The phenotype 'No resistance' should be interpreted with
# caution, as it only means that nothing in the used
# database indicate resistance, but resistance could exist
# from 'unknown' or not yet implemented sources.
# 
# The 'Match' column stores one of the integers 0, 1, 2, 3.
#      0: No match found
#      1: Match < 100% ID AND match length < ref length
#      2: Match = 100% ID AND match length < ref length
#      3: Match = 100% ID AND match length = ref length
# If several hits causing the same resistance are found,
# the highest number will be stored in the 'Match' column.

# Antimicrobial	Class	WGS-predicted phenotype	Match	Genetic background
gentamicin	aminoglycoside	Resistant	3	aac(6')-aph(2'') (aac(6')-aph(2'')_M13771)
tobramycin	aminoglycoside	Resistant	3	aac(6')-aph(2'') (aac(6')-aph(2'')_M13771)
streptomycin	aminoglycoside	Resistant	3	aph(6)-Id (aph(6)-Id_M28829), ant(6)-Ia (ant(6)-Ia_KF864551), aac(6')-aph(2'') (aac(6')-aph(2'')_M13771), aadA1 (aadA1_JX185132), aph(3'')-Ib (aph(3'')-Ib_AF321551)
amikacin	aminoglycoside	Resistant	3	aac(6')-aph(2'') (aac(6')-aph(2'')_M13771), aph(3')-III (aph(3')-III_M26832)
isepamicin	aminoglycoside	Resistant	3	aac(6')-aph(2'') (aac(6')-aph(2'')_M13771), aph(3')-III (aph(3')-III_M26832)
dibekacin	aminoglycoside	Resistant	3	aac(6')-aph(2'') (aac(6')-aph(2'')_M13771)
kanamycin	aminoglycoside	Resistant	3	aac(6')-aph(2'') (aac(6')-aph(2'')_M13771), aph(3')-III (aph(3')-III_M26832)
neomycin	aminoglycoside	Resistant	2	aph(3')-III (aph(3')-III_M26832)
lividomycin	aminoglycoside	Resistant	2	aph(3')-III (aph(3')-III_M26832)
paromomycin	aminoglycoside	Resistant	2	aph(3')-III (aph(3')-III_M26832)
ribostamycin	aminoglycoside	Resistant	2	aph(3')-III (aph(3')-III_M26832)
unknown aminoglycoside	aminoglycoside	No resistance	0	
butiromycin	aminoglycoside	No resistance	0	
butirosin	aminoglycoside	Resistant	2	aph(3')-III (aph(3')-III_M26832)
