name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Agathobacter rectalis	39491	S	46195	10150	56345	0.11382
Roseburia intestinalis	166486	S	20755	15626	36381	0.07349
Roseburia hominis	301301	S	1717	622	2339	0.00472
Roseburia rectibacter	2763062	S	874	469	1343	0.00271
Dorea longicatena	88431	S	14990	5912	20902	0.04222
Dorea formicigenerans	39486	S	2145	1210	3355	0.00678
Blautia wexlerae	418240	S	2580	1881	4461	0.00901
Blautia obeum	40520	S	1553	789	2342	0.00473
Blautia luti	89014	S	700	356	1056	0.00213
Blautia sp. SC05B48	2479767	S	349	586	935	0.00189
Blautia pseudococcoides	1796616	S	168	8	176	0.00036
Blautia hansenii	1322	S	109	46	155	0.00031
Blautia argi	1912897	S	106	35	141	0.00028
Blautia parvula	2877527	S	103	45	148	0.00030
Blautia producta	33035	S	96	127	223	0.00045
Blautia hydrogenotrophica	53443	S	90	10	100	0.00020
Blautia liquoris	2779518	S	74	2	76	0.00015
Blautia coccoides	1532	S	59	162	221	0.00045
Coprococcus catus	116085	S	2553	784	3337	0.00674
Coprococcus comes	410072	S	2495	1283	3778	0.00763
Coprococcus eutactus	33043	S	147	65	212	0.00043
Coprococcus sp. ART55/1	751585	S	109	45	154	0.00031
[Ruminococcus] torques	33039	S	3069	1092	4161	0.00841
Mediterraneibacter gnavus	33038	S	743	291	1034	0.00209
[Ruminococcus] lactaris	46228	S	496	65	561	0.00113
Simiaoa sunii	2763672	S	3045	950	3995	0.00807
Anaerobutyricum hallii	39488	S	1981	404	2385	0.00482
Lachnospira eligens	39485	S	1533	122	1655	0.00334
Enterocloster asparagiformis	333367	S	683	26	709	0.00143
Enterocloster bolteae	208479	S	578	158	736	0.00149
Enterocloster clostridioformis	1531	S	115	57	172	0.00035
Anaerostipes hadrus	649756	S	1348	254	1602	0.00324
Anaerostipes caccae	105841	S	78	9	87	0.00018
Anaerostipes rhamnosivorans	1229621	S	44	7	51	0.00010
[Clostridium] scindens	29347	S	891	133	1024	0.00207
