name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides caccae	47678	S	1422	461	1883	0.04219
Bacteroides cellulosilyticus	246787	S	740	1152	1892	0.04240
Bacteroides thetaiotaomicron	818	S	485	267	752	0.01685
Bacteroides xylanisolvens	371601	S	425	1541	1966	0.04405
Bacteroides sp. A1C1	2528203	S	172	2788	2960	0.06633
Bacteroides sp. HF-162	2785531	S	36	844	880	0.01972
Bacteroides sp. DH3716P	2847299	S	17	447	464	0.01040
Bacteroides sp. CACC 737	2755405	S	15	183	198	0.00444
Bacteroides uniformis	820	S	309	830	1139	0.02552
Bacteroides faecis	674529	S	283	224	507	0.01136
Bacteroides intestinalis	329854	S	209	35	244	0.00547
Bacteroides fragilis	817	S	158	258	416	0.00932
Bacteroides humanifaecis	2792859	S	72	1429	1501	0.03363
Bacteroides ovatus	28116	S	61	384	445	0.00997
Bacteroides salyersiae	291644	S	26	6	32	0.00072
Bacteroides stercoris	46506	S	26	11	37	0.00083
Bacteroides faecium	2715212	S	21	1	22	0.00049
Bacteroides zhangwenhongii	2650157	S	18	17	35	0.00078
Bacteroides luhongzhouii	2650158	S	18	7	25	0.00056
uncultured Bacteroides sp.	162156	S	15	0	15	0.00034
Bacteroides finegoldii	338188	S	14	17	31	0.00069
Bacteroides eggerthii	28111	S	13	8	21	0.00047
Phocaeicola vulgatus	821	S	2289	3441	5730	0.12840
Phocaeicola dorei	357276	S	154	224	378	0.00847
Phocaeicola coprophilus	387090	S	15	8	23	0.00052
Alistipes onderdonkii	328813	S	2059	932	2991	0.06702
Alistipes shahii	328814	S	480	247	727	0.01629
Alistipes communis	2585118	S	134	27	161	0.00361
Alistipes finegoldii	214856	S	80	49	129	0.00289
Alistipes indistinctus	626932	S	75	6	81	0.00182
Alistipes senegalensis	1288121	S	46	6	52	0.00117
Alistipes megaguti	2364787	S	18	2	20	0.00045
uncultured Alistipes sp.	538949	S	17	0	17	0.00038
Alistipes dispar	2585119	S	17	3	20	0.00045
Parabacteroides distasonis	823	S	824	2460	3284	0.07359
Parabacteroides merdae	46503	S	155	86	241	0.00540
Paraprevotella clara	454154	S	310	109	419	0.00939
Paraprevotella xylaniphila	454155	S	25	12	37	0.00083
Segatella copri	165179	S	18	3	21	0.00047
Odoribacter splanchnicus	28118	S	458	109	567	0.01271
[Ruminococcus] torques	33039	S	1260	630	1890	0.04235
Mediterraneibacter gnavus	33038	S	111	50	161	0.00361
[Ruminococcus] lactaris	46228	S	26	3	29	0.00065
Blautia wexlerae	418240	S	330	339	669	0.01499
